ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
27,Minnesota,MN,27001,Aitkin,27001770100,"Census Tract 7701, Aitkin County, Minnesota",458.599304195766,2264,132,3001,103,1132,79,519,87,64,32,326,51,136,38,85,33,755,67,281,41,388,56,16,11,0,36,185,62,0,12,348,64,11,10,26,12,0,9,22.9,3.6,6.4,3.1,28.8,4.0,7.2,1.9,3.8,1.5,33.3,2.4,12.4,1.7,17.1,2.3,1.4,1.0,0.0,1.7,8.2,2.7,0.0,0.4,11.6,2.1,1.0,0.9,2.3,1.1,0.0,0.4,0.7672,0.845,0.7678,0.6451,0.4669,3.492,0.7976,0.978,0.0654,0.8838,0.0941,0.0,2.0213,0.2605,0.2969,0.2969,0.2969,0.0,0.9225,0.4323,0.3126,0.0,1.6674,0.2438,7.4776,0.4616,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2,1076,353,186,11,10,38,33,9,7,40,20,0,9,51,29,36,36,15.6,0.9,0.5,0.4,1.7,1.4,0.4,0.3,1.8,0.9,0.0,0.9,2.3,1.2,1.6,1.6
27,Minnesota,MN,27001,Aitkin,27001770200,"Census Tract 7702, Aitkin County, Minnesota",461.800336881046,2248,158,2302,101,1086,78,525,119,77,29,293,63,136,34,115,57,632,66,443,79,483,78,75,29,2,34,180,75,42,17,286,55,28,16,16,11,12,13,23.6,5.1,8.0,2.8,27.0,5.5,8.1,2.0,5.1,2.5,28.1,2.8,19.7,3.2,21.5,3.1,6.9,2.6,0.1,1.6,8.0,3.3,1.8,0.7,12.4,2.4,2.6,1.5,1.5,1.0,0.5,0.6,0.7899,0.9125,0.7158,0.7025,0.654,3.7747,0.8597,0.9366,0.2728,0.9633,0.7238,0.2435,3.14,0.8357,0.2909,0.2909,0.2909,0.2582,0.9319,0.7245,0.2118,0.4817,2.6081,0.5852,9.8137,0.7856,0,1,0,0,0,1,1,0,1,0,0,2,0,0,0,1,0,0,0,1,4,1298,379,217,3,7,3,5,2,4,89,62,1,3,82,41,0,9,16.9,1.2,0.1,0.3,0.1,0.2,0.1,0.2,4.0,2.7,0.0,0.1,3.6,1.8,0.0,0.9
27,Minnesota,MN,27001,Aitkin,27001770300,"Census Tract 7703, Aitkin County, Minnesota",33.71780889352,3432,226,1958,95,1479,93,932,184,71,33,433,86,256,92,87,46,1005,97,735,92,673,113,137,57,9,35,133,52,270,72,145,40,43,40,161,58,230,82,28.7,5.3,4.8,2.2,29.3,5.5,10.6,3.8,2.7,1.4,29.3,2.5,21.4,2.3,20.7,3.2,9.3,3.8,0.3,1.0,3.9,1.5,13.8,3.6,7.4,2.0,2.9,2.7,10.9,4.0,6.7,2.3,0.8686,0.7041,0.7752,0.8165,0.2939,3.4583,0.7889,0.95,0.3789,0.9546,0.8519,0.3576,3.493,0.9352,0.0907,0.0907,0.0907,0.6318,0.8484,0.7558,0.8163,0.9353,3.9876,0.9866,11.0296,0.9005,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,1,3,5718,640,280,24,17,22,22,0,9,41,31,0,9,46,27,0,9,20.0,1.3,0.7,0.5,0.6,0.6,0.0,0.6,1.2,0.9,0.0,0.6,1.3,0.8,0.0,0.6
27,Minnesota,MN,27001,Aitkin,27001770401,"Census Tract 7704.01, Aitkin County, Minnesota",94.234650269848,1337,133,2054,98,651,55,233,75,17,21,107,30,62,22,63,32,466,63,201,55,212,46,12,9,0,36,90,49,0,12,291,72,1,9,37,23,0,9,17.4,5.3,3.1,3.9,16.4,4.4,5.7,2.1,4.7,2.3,34.9,5.1,15.0,3.8,15.9,3.5,1.8,1.4,0.0,2.8,6.7,3.6,0.0,0.6,14.2,3.5,0.2,1.4,5.7,3.4,0.0,0.7,0.6258,0.4596,0.2608,0.517,0.6019,2.4651,0.5117,0.986,0.1134,0.8544,0.1394,0.0,2.0932,0.3006,0.2295,0.2295,0.2295,0.0,0.9459,0.2235,0.5959,0.0,1.7653,0.2779,6.5531,0.33,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2,820,255,189,6,9,64,41,0,9,19,21,0,9,1,3,0,9,19.1,1.9,0.4,0.7,4.8,2.9,0.0,1.5,1.4,1.5,0.0,1.5,0.1,0.2,0.0,1.5
27,Minnesota,MN,27001,Aitkin,27001770402,"Census Tract 7704.02, Aitkin County, Minnesota",365.881578027252,1689,120,1498,66,758,56,460,86,53,28,180,38,127,36,98,33,477,50,351,57,341,48,34,21,1,34,277,66,29,12,275,44,17,17,46,17,0,9,27.3,4.7,7.3,3.6,23.7,4.7,10.5,3.0,5.8,2.0,28.2,3.1,20.8,3.0,20.2,2.8,4.5,2.8,0.1,2.1,16.4,3.7,1.9,0.8,18.4,2.9,2.2,2.2,6.1,2.1,0.0,0.5,0.8506,0.8871,0.6071,0.8139,0.7288,3.8875,0.8791,0.9406,0.3336,0.9499,0.499,0.2435,2.9666,0.7715,0.5557,0.5557,0.5557,0.2668,0.9766,0.6651,0.6179,0.0,2.5264,0.5418,9.9362,0.7983,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,1,3,1566,285,168,10,8,53,27,10,11,134,48,0,9,69,33,1,3,16.9,1.2,0.6,0.5,3.1,1.5,0.6,0.6,7.9,2.8,0.0,1.2,4.1,1.9,0.1,0.2
27,Minnesota,MN,27001,Aitkin,27001790501,"Census Tract 7905.01, Aitkin County, Minnesota",294.2642802126,1918,125,2433,106,1021,88,428,90,22,11,269,62,143,38,113,48,639,61,240,31,413,64,38,21,13,37,68,35,0,12,345,61,2,9,45,14,0,9,22.3,4.5,2.7,1.3,26.3,5.6,9.0,2.3,5.9,2.4,33.3,2.8,12.5,1.4,21.5,3.2,3.7,2.0,0.7,2.0,3.5,1.8,0.0,0.5,14.2,2.4,0.2,0.9,4.4,1.4,0.0,0.5,0.7552,0.3848,0.6925,0.7532,0.7348,3.3205,0.7548,0.978,0.068,0.9633,0.3923,0.5143,2.9159,0.7482,0.0754,0.0754,0.0754,0.0,0.9459,0.2235,0.499,0.0,1.6684,0.2452,7.9802,0.5324,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,1,3,721,420,171,4,6,7,8,11,9,0,9,0,9,46,29,0,9,21.9,1.4,0.2,0.3,0.4,0.4,0.6,0.4,0.0,1.0,0.0,1.0,2.4,1.4,0.0,1.0
27,Minnesota,MN,27001,Aitkin,27001790503,"Census Tract 7905.03, Aitkin County, Minnesota",43.077191258818,1543,117,2250,110,783,74,207,52,8,8,192,47,64,25,80,37,687,84,167,32,241,63,29,19,0,36,19,20,0,12,210,61,3,9,23,13,5,8,13.4,3.2,1.4,1.3,24.5,5.5,4.8,1.9,5.2,2.3,44.5,4.0,10.8,1.9,15.6,3.6,3.7,2.4,0.0,2.4,1.2,1.3,0.0,0.5,9.3,2.7,0.4,1.1,2.9,1.7,0.3,0.5,0.4723,0.1202,0.6398,0.4229,0.668,2.3232,0.4582,0.998,0.0467,0.8403,0.3923,0.0,2.2773,0.4088,0.0087,0.0087,0.0087,0.0,0.8898,0.2588,0.3734,0.3716,1.8936,0.3146,6.5028,0.324,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,516,171,162,1,2,6,7,0,9,0,9,8,11,4,4,0,9,11.1,0.8,0.1,0.2,0.4,0.4,0.0,1.3,0.0,1.3,0.5,0.7,0.3,0.3,0.0,1.3
27,Minnesota,MN,27001,Aitkin,27001790504,"Census Tract 7905.04, Aitkin County, Minnesota",70.197260218688,1395,119,1377,83,684,67,259,80,29,19,153,56,49,19,50,23,572,66,187,50,277,47,14,17,0,36,43,36,61,29,113,40,3,9,15,9,13,20,18.6,5.5,4.9,3.5,22.4,7.9,4.2,1.7,3.6,1.6,41.0,4.4,13.4,3.4,19.9,3.4,2.0,2.5,0.0,2.6,3.1,2.6,4.4,2.1,8.2,2.8,0.4,1.3,2.2,1.3,0.9,1.4,0.6631,0.7114,0.561,0.3596,0.4355,2.7306,0.5898,0.996,0.0774,0.9432,0.1608,0.0,2.1774,0.3454,0.0554,0.0554,0.0554,0.3929,0.8684,0.2588,0.2999,0.5937,2.4137,0.495,7.3771,0.4442,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,460,162,174,2,4,23,28,8,18,4,4,0,9,6,7,0,9,11.7,1.0,0.1,0.3,1.6,2.0,0.6,1.3,0.3,0.3,0.0,1.4,0.4,0.5,0.0,1.4
27,Minnesota,MN,27003,Anoka,27003050107,"Census Tract 501.07, Anoka County, Minnesota",13.617654604956,2736,279,962,78,955,81,382,222,33,28,259,94,116,74,332,215,219,102,880,175,245,140,105,72,0,36,113,82,0,12,291,84,23,34,14,21,0,9,14.4,8.2,2.2,1.8,27.1,9.6,7.1,4.3,12.1,7.9,8.0,3.8,32.2,5.5,9.0,5.1,11.0,7.5,0.0,1.4,4.1,3.0,0.0,1.2,30.2,8.4,2.4,3.6,1.5,2.2,0.0,0.3,0.5123,0.2786,0.7191,0.6391,0.9593,3.1084,0.6961,0.0974,0.9433,0.3059,0.9093,0.0,2.2559,0.3935,0.1034,0.1034,0.1034,0.0,0.996,0.6991,0.2118,0.0,1.9069,0.3206,7.3746,0.4436,0,0,0,0,1,1,0,1,0,1,0,2,0,0,0,1,0,0,0,1,4,1779,489,461,0,9,0,9,0,9,0,9,0,9,113,80,0,9,17.9,1.8,0.0,0.7,0.0,0.7,0.0,0.7,0.0,0.7,0.0,0.7,4.1,2.9,0.0,0.7
27,Minnesota,MN,27003,Anoka,27003050108,"Census Tract 501.08, Anoka County, Minnesota",10.34693900292,5500,277,1863,94,1801,96,647,268,107,59,314,95,315,130,211,70,537,108,1611,226,588,176,104,48,49,63,665,324,104,53,6,6,24,21,12,17,0,13,11.8,4.9,3.5,2.0,17.4,5.2,9.2,3.7,3.8,1.3,9.8,2.0,29.3,3.8,10.7,3.2,5.8,2.6,1.0,1.3,12.1,5.9,5.6,2.8,0.3,0.3,1.3,1.2,0.7,0.9,0.0,0.2,0.4043,0.5351,0.3049,0.7678,0.4669,2.479,0.5177,0.1641,0.8773,0.4683,0.6484,0.6011,2.7592,0.6827,0.439,0.439,0.439,0.437,0.4629,0.505,0.0915,0.0,1.4964,0.1944,7.1736,0.4102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5260,361,408,105,121,298,267,30,23,0,13,0,13,232,136,0,13,6.6,0.3,1.9,2.2,5.4,4.8,0.5,0.4,0.0,0.4,0.0,0.4,4.2,2.5,0.0,0.4
